What does the abbreviation 'IPO' stand for?,"Input, Process, Output","Input, Product, Output","Initial, Progress, Output","Initial, Payload, Offload","Input, Process, Output"
What stage shows the various interfaces of the system and their links?,Storyboard,Storyline,Diagram,Photoboard,Storyboard
What must you always start with in a Pseudocode algorithm?,BEGIN,START,TOP,ON,BEGIN
What must you always end with in a Pseudocode algorithm?,END,FINISH,BOTTOM,OFF,END
What symbol represents 'Process' in a Context Diagram?,A circle,A square,A triangle,A rectangle,A circle
What symbol represents 'Data Flow' in a Context Diagram?,An arrow,A triangle,A line,A rectangle,An arrow
What symbol represents 'External Entity'  in a Context Diagram?,A square,A rectangle,A trapezium,A circle,A square
What symbol represents 'Data Store' in a Context Diagram?,A rectangle with an open side on the right,A rectangle with an open side on the left,A circle,A line,A rectangle with an open side on the right
What is a System Flowchart?,A representation of the flow of data and logic,A chart that represents the system interfaces,A flowchart that shows the components of the computer,A flowchart to navigate a computer,A representation of the flow of data and logic
What is a Processing Operation in a System Flowchart?,Manual Operation,Automatic Operation,Processing Operation,System Operation,Manual Operation
What is a Processing Operation in a System Flowchart?,Process,Manual Operation,Processing Operation,System Operation,Process
What is 'Processing Operation' represented as in System Flowcharts?,An upside-down trapezium,A triangle,A flowchart,A circle,An upside-down trapezium
What is 'Process' represented as in System Flowcharts?,A rectangle,A square,A rectangle with an open side to the right,A circle,A rectangle
What is an Output Device in a System Flowchart?,Online Display,Touch-screen Display,A  Monitor, A mouse,Online Display
What is an Output Device in a System Flowchart?,Paper Document,Microphone,A  karaoke,A keyboard,Paper Document
What is an Input Device in a System Flowchart?,Online Input,Online Display,A phone,Offline Input,Online Input
What is a Storage Media in a System Flowchart?,Direct Access Storage Device,File Explorer,A website,A document,Direct Access Storage Device
What is a Storage Media in a System Flowchart?,Magnetic Tape,Printer,A ring network,A bus network,Magnetic Tape
What is a Storage Media in a System Flowchart?,Punched Card,Wireless Mouse,A keyboard,A USB,Punched Card
What is 'Input / Output' represented as in a System Flowchart?,A parallelogram,A circle,A decagon,A triangle,A parallelogram
What is 'Decision' represented as in a System Flowchart?,A diamond,A square,A circle,A triangle,A diamond
What is 'Telecommunications Link' represented as in a System Flowchart?,A zig-zag,A trapezium,A line,A parellelogran,A zig-zag
What is 'Data Flow' represented as in a System Flowchart?,An arrow,A line,A triangle,A triangle,An arrow
What is 'Online Display' used for?,To show data display on a monitor,To light up the screen panel,To show data display on a mouse,To show data display on a keyboard,To show data display on a monitor
What is 'Manual Operation' used for?,For non-computer-assisted operations,To operate the GPU with manual inputs,To display online,To manually transfer data,For non-computer-assisted operations
What is 'Process' used for?,For operations performed by the computer,For operations assisted without the computer,To process everything,To process information through a profressor,For operations performed by the computer
What is 'Paper Document' used for?,"For printed output such as reports, letters, etc.",To document paper on a digital file ,To utilise paper processing efficiency,To produce paper-free documents,"For printed output such as reports, letters, etc."
When is 'Direct Access Storage Device' used?,"When data is stored on hard disk, CD-ROM, DVD, etc.",To speed up the CPU,To store data on a paper,To slow down the CPU,"When data is stored on hard disk, CD-ROM, DVD, etc."
"When is 'Online Input"" used?",If data is input via. keyboard or device attached to computer,When you are using the internet,When you input data but wi-fi is not on,When you input data but wi-fi is on,If data is input via. keyboard or device attached to computer
What is a Gantt Chart?,A type of Bar Chart that shows a project schedule,A type of Line Chart that shows a project schedule,A big chart,A computerized pie chart,A type of Bar Chart that shows a project schedule
What is a Gantt Chart used for?,To inform members of the project schedule,To track data of the processes,To show animals,To represent data in a pie char but for computers,To inform members of the project schedule
What is a Data Dictionary?,"A centralised repository of information about data such as meaning, relationships to other data, origin, usage, and format.",A dictionary that only defines data,A dictionary about computers,It is a software in every computer,"A centralised repository of information about data such as meaning, relationships to other data, origin, usage, and format."
What is a Data Dictionary used for?,To provide detailed information about the contents of a dataset or database.,To display information through the output to the user,To search data about computers,To look up diffrent definitions of data,To provide detailed information about the contents of a dataset or database.
Which one of these is a computing language?,Python,PROG,C—,LINX,Python
Which one of these is a computing language?,Liberty Basic,Objective-D,COM,HYPERcode,Liberty Basic
Which one of these is a computing language?,JAVA,SQLD,LKText,MAXILOG,JAVA
Which one of these is a computing language?,C++,SQI,HTTPS,UNILOGY,C++
Which one of these is a computing language?,HTML,HAPS,CPUL,HTTP,HTML
